"fullName","country","politicalGroup","id","nationalPoliticalGroup"
"Maria WALSH","Ireland","Group of the European People's Party (Christian Democrats)","197863","Fine Gael Party"
"Marion WALSMANN","Germany","Group of the European People's Party (Christian Democrats)","197429","Christlich Demokratische Union Deutschlands"
"Jörgen WARBORN","Sweden","Group of the European People's Party (Christian Democrats)","197405","Moderaterna"
"Manfred WEBER","Germany","Group of the European People's Party (Christian Democrats)","28229","Christlich-Soziale Union in Bayern e.V."
"Pernille WEISS","Denmark","Group of the European People's Party (Christian Democrats)","197515","Det Konservative Folkeparti"
"Rainer WIELAND","Germany","Group of the European People's Party (Christian Democrats)","2323","Christlich Demokratische Union Deutschlands"
"Iuliu WINKLER","Romania","Group of the European People's Party (Christian Democrats)","39725","Uniunea Democrată Maghiară din România"
"Angelika WINZIG","Austria","Group of the European People's Party (Christian Democrats)","197652","Österreichische Volkspartei"
"Isabel WISELER-LIMA","Luxembourg","Group of the European People's Party (Christian Democrats)","197421","Parti chrétien social luxembourgeois"
"Stefania ZAMBELLI","Italy","Group of the European People's Party (Christian Democrats)","197586","Forza Italia"
"Javier ZARZALEJOS","Spain","Group of the European People's Party (Christian Democrats)","197606","Partido Popular"
"Tomáš ZDECHOVSKÝ","Czechia","Group of the European People's Party (Christian Democrats)","124713","Křesťanská a demokratická unie - Československá strana lidová"
"Juan Ignacio ZOIDO ÁLVAREZ","Spain","Group of the European People's Party (Christian Democrats)","197621","Partido Popular"
"Željana ZOVKO","Croatia","Group of the European People's Party (Christian Democrats)","185341","Hrvatska demokratska zajednica"
"Milan ZVER","Slovenia","Group of the European People's Party (Christian Democrats)","96933","Slovenska demokratska stranka"
